약국 이름,주소,경도,위도
큰곰약국,제주특별자치도 제주시 우평로 338 1층 (외도일동),126.4305346,33.4841945
메디팜현대약국,"전라남도 목포시 부흥로 86 102호 (옥암동, 부영2차아파트 상가)",126.4306256,34.8032947
외도약국,제주특별자치도 제주시 우정로 70 1층 (외도일동),126.4306336,33.4866215
부원약국,제주특별자치도 제주시 우정로8길 2 1층 (외도일동),126.4306878,33.489369
우리들약국,제주특별자치도 제주시 우정로 56 (외도일동),126.4307189,33.4879667
알로하약국,"제주특별자치도 제주시 우정로15길 1 1층 106호 (외도일동, 대원상록수11차아파트)",126.4310916,33.4861374
가정온누리약국,제주특별자치도 제주시 우정로 57 (외도일동),126.431095,33.4876965
드림약국,제주특별자치도 제주시 우정로 63 (외도일동),126.4311052,33.4871189
밝은약국,제주특별자치도 제주시 우정로 69 1층 (외도일동),126.4311095,33.4866506
광주약국,전라남도 해남군 황산면 시등로 118 광주약국 1층,126.4314146,34.5757574
신세계약국,전라남도 목포시 부흥로 97 (옥암동),126.4314596,34.8044151
장생당한약국,전라남도 목포시 부흥로 99 (옥암동),126.4316418,34.8045051
바다약국,제주특별자치도 제주시 절물1길 39 1층 (외도일동),126.4317022,33.489386
착한약국,제주특별자치도 제주시 우정로15길 5 1층 (외도일동),126.4317162,33.4860721
아이팜약국,전라남도 목포시 백년대로 420 (옥암동),126.4319785,34.8090868
현대약국,전라남도 해남군 황산면 시등로 98 98,126.4335468,34.576163
대산약국,충청남도 서산시 대산읍 구진천로 7 (대산읍),126.4336755,36.9387115
대산프라자약국,충청남도 서산시 대산읍 구진천로 12 (대산읍),126.4343974,36.9382356
우성약국,충청남도 서산시 대산읍 구진로 6 (대산읍),126.4359992,36.9361321
바닷가약국,충청남도 서산시 지곡면 화천1로 58 B동,126.4363618,36.861925
지곡백화점약국,충청남도 서산시 지곡면 충의로 1192 (),126.4381326,36.8739362
기분좋은약국,충청남도 서산시 충의로 27 2층 (예천동),126.438294,36.7737336
인의당약국,전라남도 영광군 법성면 연우로 6 (법성면),126.4442073,35.3624928
남도온누리약국,전라남도 목포시 정의로 4-10 (옥암동),126.4443522,34.8115843
정다운약국,충청남도 서산시 부춘1로 34-1 (읍내동),126.4453878,36.7847485
서산동인당한약국,충청남도 서산시 부춘1로 51 5호 (읍내동),126.4454399,36.7863083
호수약국,충청남도 서산시 호수공원14로 36 (예천동),126.4456545,36.7742683
한빛약국,충청남도 서산시 고운로 62 (읍내동),126.4462044,36.7770184
준약국,전라남도 영광군 홍농읍 홍농로 457-3 457,126.4462984,35.3952664
건강약국,전라남도 영광군 법성면 진굴비길 59 (법성면),126.4463867,35.3611154
열린약국,충청남도 서산시 지곡면 충의로 762-78 105호 (늘푸른오스카빌),126.4467085,36.8428096
믿음약국,전라남도 영광군 홍농읍 홍농로 460 (홍농읍),126.446862,35.3953829
열매약국,"충청남도 서산시 예천1로 24 105호 (예천동, JS빌딩)",126.447079,36.7691124
부주약국,전라남도 목포시 남악1로52번가길 3 (옥암동),126.4480847,34.8104925
